2.100000000000000000e+01,6.190053224563598633e-01,6.187275052070617676e-01,2.863500118255615234e-01,2.871751189231872559e-01,3.326588571071624756e-01,3.315510749816894531e-01
2.200000000000000000e+01,6.169711947441101074e-01,6.169381141662597656e-01,2.863371670246124268e-01,2.870683073997497559e-01,3.306323885917663574e-01,3.298668563365936279e-01
2.300000000000000000e+01,6.159262061119079590e-01,6.158444881439208984e-01,2.862865328788757324e-01,2.868538498878479004e-01,3.296397328376770020e-01,3.289903998374938965e-01
2.400000000000000000e+01,6.151152253150939941e-01,6.155771613121032715e-01,2.862115502357482910e-01,2.870288789272308350e-01,3.289089202880859375e-01,3.285500705242156982e-01
2.500000000000000000e+01,6.144641637802124023e-01,6.150051355361938477e-01,2.861073315143585205e-01,2.868984639644622803e-01,3.283582925796508789e-01,3.281081020832061768e-01
2.600000000000000000e+01,6.138722896575927734e-01,6.141939163208007812e-01,2.859838008880615234e-01,2.867207229137420654e-01,3.278920650482177734e-01,3.274727761745452881e-01
2.700000000000000000e+01,6.135145425796508789e-01,6.145652532577514648e-01,2.859331369400024414e-01,2.868942320346832275e-01,3.275805413722991943e-01,3.276752233505249023e-01
2.800000000000000000e+01,6.131118535995483398e-01,6.144915819168090820e-01,2.858375608921051025e-01,2.868096232414245605e-01,3.272792100906372070e-01,3.276821374893188477e-01
2.900000000000000000e+01,6.128005385398864746e-01,6.136019825935363770e-01,2.857713997364044189e-01,2.865692377090454102e-01,3.270244896411895752e-01,3.270344734191894531e-01
3.000000000000000000e+01,6.124588847160339355e-01,6.150575876235961914e-01,2.856710255146026611e-01,2.871037125587463379e-01,3.267837464809417725e-01,3.279513418674468994e-01
